review_id,app_name,translated_review,sentiment,sentiment_polarity,sentiment_subjectivity,review_date
64,Candy Crush,Level design is creative and visually appealing.,Positive,0.72,0.82,2017-02-28
65,Candy Crush,Good time killer on public transport commutes.,Positive,0.60,0.72,2017-04-15
66,Google Maps,Most accurate navigation app available today.,Positive,0.88,0.90,2017-05-20
67,Google Maps,Offline maps save data usage significantly.,Positive,0.78,0.85,2017-06-30
68,Google Maps,Sometimes routes are longer than necessary though.,Neutral,0.08,0.45,2017-08-12
69,Google Maps,Street view is incredibly detailed and useful.,Positive,0.80,0.88,2017-09-25
70,Google Maps,Frequent update requests are slightly annoying.,Neutral,0.05,0.42,2017-10-30
71,Headspace,Transformed my morning meditation routine completely.,Positive,0.90,0.92,2017-06-08
72,Headspace,Subscription price is a bit high but worth it.,Neutral,0.20,0.55,2017-07-22
73,Headspace,Content variety could be expanded more.,Neutral,0.10,0.48,2017-08-30
74,Headspace,Andy's voice is calming and very soothing.,Positive,0.82,0.88,2017-10-10
75,Headspace,Sleeping sounds section is absolutely excellent.,Positive,0.85,0.90,2017-11-20
76,Twitter,Great for real-time news and trending updates.,Positive,0.68,0.78,2017-04-18
77,Twitter,Harassment and toxicity problems need addressing.,Negative,-0.65,0.80,2017-05-30
78,Twitter,Character limit feels restrictive for nuanced views.,Negative,-0.32,0.58,2017-07-14
79,Twitter,Breaking news arrives fastest here consistently.,Positive,0.75,0.82,2017-08-25
80,Twitter,Verification system feels unfair and inconsistent.,Negative,-0.45,0.65,2017-10-05
81,LinkedIn,Excellent for professional networking connections.,Positive,0.72,0.80,2017-03-12
82,LinkedIn,Too many irrelevant job notifications daily.,Negative,-0.40,0.62,2017-04-25
83,LinkedIn,Helped me get multiple job interviews quickly.,Positive,0.85,0.90,2017-06-08
84,LinkedIn,Feed feels like Facebook wannabe recently.,Negative,-0.50,0.68,2017-07-20
85,LinkedIn,Premium features justify the monthly cost for me.,Neutral,0.22,0.52,2017-09-02
86,Zoom,Reliable video calls with good audio quality.,Positive,0.78,0.85,2020-04-10
87,Zoom,Zoom fatigue is a real phenomenon from overuse.,Negative,-0.35,0.60,2020-05-25
88,Zoom,Background blur feature is very professional looking.,Positive,0.72,0.80,2020-06-30
89,Zoom,Security concerns need to be addressed more urgently.,Negative,-0.58,0.72,2020-08-15
90,Zoom,Breakout rooms work perfectly for team sessions.,Positive,0.80,0.88,2020-09-28
91,Robinhood,Made investing accessible for everyday people.,Positive,0.75,0.82,2018-05-15
92,Robinhood,Gamification of investing feels irresponsible.,Negative,-0.62,0.75,2018-06-28
93,Robinhood,Simple clean interface for beginner investors.,Positive,0.68,0.78,2018-08-10
94,Robinhood,Outage during market crash caused real financial loss.,Negative,-0.82,0.90,2018-09-25
95,Robinhood,No commission trading saves significant money.,Positive,0.80,0.85,2018-11-05
96,Calm,Helps me fall asleep faster every single night.,Positive,0.88,0.90,2017-08-20
97,Calm,Sleep stories narrated by celebrities are delightful.,Positive,0.82,0.88,2017-09-30
98,Calm,Free content is too limited compared to competitors.,Negative,-0.45,0.65,2017-11-12
99,Calm,Daily meditation reminders keep me accountable.,Positive,0.75,0.82,2018-01-25
100,Calm,Annual subscription provides excellent value overall.,Positive,0.70,0.78,2018-03-08
